country_cn,country_en,gdp_per_capita,health_expenditure,tumor_mortality_per_100k,tumor_total_deaths,population
刚果民主共和国,"Congo, Dem. Rep.",504.00419142286,3.508039,55.44882966241208,51538.26879014926,92947442.0
莫桑比克,Mozambique,519.09255091362,7.90207434,30.892922564658654,9232.158372328338,29884380.0
苏丹,Sudan,709.975280761719,4.59967566,42.53482401412429,19373.836077895357,45548175.0
埃塞俄比亚,Ethiopia,793.473247210264,3.24287128,69.55024426387558,80495.63258111721,115737383.0
乌干达,Uganda,822.171150036357,3.79341364,62.88373733495032,27039.77878606211,42999637.0
坦桑尼亚联合共和国,Tanzania,1063.32250976563,4.02347755,50.97379139069961,30163.68549401388,59174891.0
尼泊尔,Nepal,1203.14294706401,4.44524717,46.128514009852154,13106.985493008358,28414064.0
巴基斯坦,Pakistan,1390.41690981745,2.84736943,61.07949342511336,140972.01992980752,230800899.0
缅甸,Myanmar,1425.98954241668,3.814466,87.99332702979162,46320.31474090403,52640713.0
喀麦隆,Cameroon,1555.22660476477,3.65157914,54.640444380621794,13936.643652143555,25506095.0
肯尼亚,Kenya,1960.40808854893,4.36874676,55.33299020563625,28332.055248918874,51202827.0
印度,India,2041.42863698585,2.95299792,61.85715442914955,859214.6251615378,1389030312.0
孟加拉国,Bangladesh,2129.79896954606,2.12712646,74.67918083534991,123155.71856455004,164913055.0
加纳,Ghana,2186.65822682613,3.25450468,43.788990768716666,13687.976540448219,31258945.0
柬埔寨,Cambodia,2225.87705485686,5.05801058,55.9037541906092,9213.667675567041,16481304.0
安哥拉,Angola,2493.67884440177,2.20394278,43.792605739530266,14178.1328774412,32375632.0
委内瑞拉玻利瓦尔共和国,"Venezuela, RB",2523.11275230667,2.18563724,120.43842932006861,34852.59070630219,28938098.0
老挝人民民主共和国,Lao PDR,2589.32081035237,2.60312223,68.19764416478303,4935.897245222236,7237636.0
尼日利亚,Nigeria,3189.81286498516,2.98547053,42.424543076842454,88873.32600584453,209485641.0
菲律宾,Philippines,3400.78949767074,4.16646004,65.38689562181692,72451.74241729513,110804683.0
越南,Viet Nam,3440.90025375434,4.97407484,104.7108108505909,101751.44878373691,97173776.0
摩洛哥,Morocco,3508.09765625,5.020401,67.81056002227558,24554.81272289499,36210898.0
乌克兰,Ukraine,3619.86157226563,7.09389353,184.63525472709216,83007.31709712547,44957458.0
伊朗伊斯兰共和国,"Iran, Islamic Rep.",3997.4935449585,6.23426771,79.22622444790971,68967.7340300843,87051648.0
斯里兰卡,Sri Lanka,4081.94772722003,3.70119572,86.85026253820581,18935.962741205014,21803000.0
印度尼西亚,Indonesia,4106.94856160358,2.87862897,75.88397744625675,206775.78042148464,272489381.0
蒙古,Mongolia,4347.54610314873,4.49497986,131.45382440361988,4295.481127504498,3267673.0
摩尔多瓦共和国,Moldova,4405.33418162155,6.49662447,241.84537073000237,6443.302409877699,2664224.0
阿尔及利亚,Algeria,4468.45341883656,5.41732121,49.64051715160128,21491.636532837903,43294546.0
亚美尼亚,Armenia,4597.22887399548,11.3798008,188.1559641459607,5574.1204378240855,2962500.0
阿塞拜疆,Azerbaijan,4805.75371765917,4.18188763,104.8978201715306,10515.254354825312,10024283.0
伊拉克,Iraq,5671.8568632942,4.207232,72.655713400518,29928.46570521129,41192171.0
斐济,Fiji,5842.07344577597,4.28229284,94.11832670901947,861.087629877552,914899.0
哥伦比亚,Colombia,6472.54544924705,7.83404827,99.84691383818523,49831.58278132441,49907985.0
南非,South Africa,6533.71121032856,8.24652863,101.65158033452958,60572.026790422104,59587885.0
白俄罗斯,Belarus,6837.77339645635,5.86133814,216.57032785928655,20400.400784151374,9419758.0
秘鲁,Peru,7037.00803692604,5.12525272,107.36697097654135,34839.833734099964,32449303.0
泰国,Thailand,7605.69657797759,3.78911877,166.94512352919497,119402.94367183559,71522271.0
塞尔维亚,Serbia,7755.632986437,8.28762531,407.04530010413623,28270.252648687503,6945235.0
巴西,Brazil,9029.83304401079,9.61449146,126.82701491021706,263109.56591798924,207455459.0
古巴,Cuba,9232.26115935183,11.08501148,244.62709032661115,27405.196203571148,11202846.0
土耳其,Turkiye,9395.23378001368,4.35954332,130.08378030107346,107422.45730345677,82579440.0
哈萨克斯坦,Kazakhstan,9457.12614657136,2.87143755,96.48543122018592,18534.421977228783,19209555.0
阿根廷,Argentina,9955.97478680428,10.11911297,175.75855223815415,79044.71097533297,44973465.0
中国,China,10342.9009524335,5.26516867,156.52133638415913,2203421.286881181,1407745000.0
保加利亚,Bulgaria,10353.7204584127,7.11813641,308.89442225675043,20438.69755001219,6616726.0
墨西哥,Mexico,10369.5553585271,5.3013463,81.98104272481754,103101.8040054246,125762982.0
马来西亚,Malaysia,10920.191763972,3.83991051,84.81481040257164,28362.578094889956,33440596.0
俄罗斯,Russian Federation,11447.701171875,5.64849091,218.9710580382179,318500.610254108,145453291.0
罗马尼亚,Romania,12909.6104013244,5.69924641,275.8191986044607,53430.724270077044,19371648.0
智利,Chile,14495.716721687,9.30968475,158.5171970774104,30431.725690896732,19197744.0
克罗地亚,Croatia,15563.5987295029,6.78699923,357.6053408085276,14123.229569357909,3949390.0
波兰,Poland,15874.5220531254,6.38906956,324.1745573951764,123074.41054422635,37965475.0
匈牙利,Hungary,17012.8598553199,6.24677849,345.33343547456343,33479.46878241249,9694824.0
希腊,Greece,19335.3602002969,8.11709499,323.43515343744303,34677.36519262128,10721582.0
斯洛伐克,Slovak Republic,19406.0589683582,6.91102982,268.95036940316464,14668.94850429162,5454147.0
立陶宛,Lithuania,19608.7943945553,6.94472647,308.6089566934588,8675.272434624585,2811089.0
葡萄牙,Portugal,23343.3628970034,9.50868607,311.3947228416028,32030.88015960834,10286263.0
捷克共和国,Czechia,24062.7190013343,7.48754358,291.6872009454663,31128.478891538936,10671870.0
沙特阿拉伯,Saudi Arabia,29566.7933827436,5.46743011,39.72717568641723,11943.498246741348,30063799.0
西班牙,Spain,29786.5245689007,9.21539497,263.5238709317132,124168.49776019799,47118501.0
科威特,Kuwait,31707.8737443551,5.18200397,30.632997512030013,1360.8145497565113,4442316.0
意大利,Italy,33812.788724868,8.61536789,321.257371637398,191884.0757237725,59729081.0
大韩民国,"Korea, Rep.",33826.9443301597,7.69397116,187.35683591594898,96984.93261672306,51764822.0
法国,France,40408.2848574751,11.17058277,295.0236273674594,198793.00055715418,67382061.0
日本,Japan,40415.9567649547,10.96998405,362.95718259180603,459623.56903148175,126633000.0
新西兰,New Zealand,42855.831861632,8.61898708,210.72986820324562,10473.906639305917,4970300.0
英国,United Kingdom,43158.7411267323,9.97954082,286.8920599525998,191159.0484670168,66631000.0
阿拉伯联合酋长国,United Arab Emirates,45938.6073581994,4.40291262,21.946614287163857,2073.0300003447805,9445785.0
加拿大,Canada,46352.8693445211,11.04823494,241.53946705809975,90863.5123382779,37618495.0
比利时,Belgium,46716.6227467964,10.85831451,278.78053193154614,32029.03955750895,11488980.0
德国,Germany,47656.199739747,11.42805386,320.75171419205196,266522.09998795035,83092962.0
芬兰,Finland,48358.1807773701,9.22295189,265.21001699767913,14643.852211144871,5521606.0
奥地利,Austria,49885.9947355204,10.62530422,259.8656827080648,23075.864731929985,8879920.0
瑞典,Sweden,51648.9892820514,10.93444347,256.882892881216,26404.70228159124,10278887.0
荷兰,Netherlands,53554.9007491475,9.93616295,310.01074400611947,53770.97293432398,17344874.0
澳大利亚,Australia,55194.7585097428,10.25421429,210.19618839503767,53252.83858851499,25334826.0
丹麦,Denmark,59404.2663247723,10.18468761,321.1242403323551,18671.518477217327,5814422.0
美利坚合众国,United States,64746.4506778863,16.54486084,207.515633569251,685271.047170883,330226227.0
新加坡,Singapore,65952.0378959293,4.40746737,113.55924002794835,6476.9296108696535,5703569.0
卡塔尔,Qatar,66841.3623185691,3.18468714,16.55436495530169,436.81290969861493,2638657.0
挪威,Norway,76430.5889473338,10.43807507,234.3295700658546,12531.701704369036,5347896.0
爱尔兰,Ireland,81827.6688873996,6.61860561,199.57781203018558,9931.902001444892,4976456.0
瑞士,Switzerland,84121.9310304414,11.42588997,235.392138686094,20185.534990320884,8575280.0
